School,ACARA SML ID,year,Locality,Median VCE study score,Percentage of study scores of 40 and over,Percentage of VCE students applying for tertiary places,Percentage of satisfactory VCE completions,ICSEA,School Sector,School Type,Total Enrolments,Latitude,Longitude
Al Siraat College,46390.0,2022,EPPING,32.0,16.2,100.0,100.0,1048.0,Independent,Combined,1138.0,-37.62426056,145.03753369
Al Siraat College,,2023,EPPING,32.0,8.9,97.4,100.0,,,,,,
Al-Taqwa College,46309.0,2014,TRUGANINA,26.0,2.2,91.0,100.0,1003.0,Independent,Combined,1701.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2015,TRUGANINA,28.0,2.2,97.0,100.0,1009.0,Independent,Combined,1825.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2016,TRUGANINA,28.0,2.3,96.0,100.0,1009.0,Independent,Combined,1970.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2017,TRUGANINA,27.0,3.0,93.0,100.0,1012.0,Independent,Combined,2009.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2018,TRUGANINA,26.0,3.8,90.2,100.0,1023.0,Independent,Combined,2067.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2019,TRUGANINA,27.0,2.9,94.7,97.0,1035.0,Independent,Combined,2132.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2020,TRUGANINA,27.0,3.1,90.5,100.0,1035.0,Independent,Combined,2095.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2021,TRUGANINA,26.0,0.7,96.6,100.0,1047.0,Independent,Combined,2149.0,-37.85265,144.722023
Al-Taqwa College,46309.0,2022,TRUGANINA,30.0,5.3,97.1,99.0,1054.0,Independent,Combined,2182.0,-37.85265,144.722023
Al-Taqwa College,,2023,TRUGANINA,31.0,4.0,93.7,100.0,,,,,,
Albert Park College,50267.0,2014,ALBERT PARK,34.0,25.0,,,1112.0,Government,Secondary,703.0,-37.84436706,144.94741572
Albert Park College,50267.0,2015,ALBERT PARK,32.0,9.1,,,1115.0,Government,Secondary,884.0,-37.84436706,144.94741572
Albert Park College,50267.0,2016,ALBERT PARK,31.0,9.2,78.0,99.0,1113.0,Government,Secondary,1036.0,-37.84436706,144.94741572
Albert Park College,50267.0,2017,ALBERT PARK,32.0,12.5,92.0,99.0,1120.0,Government,Secondary,1146.0,-37.84436706,144.94741572
Albert Park College,50267.0,2018,ALBERT PARK,31.0,8.6,85.7,100.0,1113.0,Government,Secondary,1265.0,-37.84436706,144.94741572
Albert Park College,50267.0,2019,ALBERT PARK,31.0,8.6,87.7,98.0,1114.0,Government,Secondary,1375.0,-37.84436706,144.94741572
Albert Park College,50267.0,2020,ALBERT PARK,31.0,10.1,88.3,99.0,1116.0,Government,Secondary,1444.0,-37.84436706,144.94741572
Albert Park College,50267.0,2021,ALBERT PARK,30.0,9.0,85.8,99.0,1119.0,Government,Secondary,1551.0,-37.84436706,144.94741572
Albert Park College,50267.0,2022,ALBERT PARK,32.0,8.8,85.6,98.0,1124.0,Government,Secondary,1559.0,-37.84436706,144.94741572
Albert Park College,,2023,ALBERT PARK,31.0,6.3,83.3,99.0,,,,,,
Albury Wodonga Comm College,45587.0,2014,WODONGA,,,,,989.0,Government,Combined,205.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2015,WODONGA,,,,,987.0,Government,Combined,218.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2016,WODONGA,,,,,992.0,Government,Combined,242.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2017,WODONGA,,,,,1001.0,Government,Combined,273.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2018,WODONGA,,,,,1002.0,Government,Combined,313.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2019,WODONGA,,,,,1001.0,Government,Combined,385.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2020,WODONGA,,,,,1008.0,Government,Combined,483.0,-37.86152274,144.8172644
Albury Wodonga Comm College,45587.0,2021,WODONGA,,,,,1012.0,Government,Combined,556.0,-37.86152274,144.8172644
Alexandra Secondary College,45349.0,2014,ALEXANDRA,28.0,2.2,97.0,100.0,973.0,Government,Secondary,291.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2015,ALEXANDRA,27.0,4.3,68.0,87.0,960.0,Government,Secondary,301.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2016,ALEXANDRA,26.0,2.7,72.0,88.0,960.0,Government,Secondary,297.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2017,ALEXANDRA,24.0,2.4,75.0,100.0,960.0,Government,Secondary,293.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2018,ALEXANDRA,24.0,4.2,75.0,96.0,962.0,Government,Secondary,307.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2019,ALEXANDRA,28.0,3.0,57.7,96.0,975.0,Government,Secondary,294.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2020,ALEXANDRA,27.0,5.2,76.0,96.0,976.0,Government,Secondary,308.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2021,ALEXANDRA,26.0,0.8,69.6,100.0,981.0,Government,Secondary,319.0,-37.19449,145.701477
Alexandra Secondary College,45349.0,2022,ALEXANDRA,26.0,0.0,69.2,95.0,972.0,Government,Secondary,329.0,-37.19449,145.701477
Alexandra Secondary College,,2023,ALEXANDRA,23.0,0.6,32.5,98.0,,,,,,
Alia College,46354.0,2014,HAWTHORN EAST,27.0,3.7,73.0,91.0,1129.0,Independent,Secondary,71.0,-37.843225,145.045173
Alia College,46354.0,2015,HAWTHORN EAST,27.0,1.2,72.0,100.0,1091.0,Independent,Secondary,88.0,-37.843225,145.045173
Alia College,46354.0,2016,HAWTHORN EAST,27.0,4.5,78.0,89.0,1115.0,Independent,Secondary,86.0,-37.843225,145.045173
Alia College,46354.0,2017,HAWTHORN EAST,24.0,0.0,68.0,100.0,1098.0,Independent,Secondary,76.0,-37.843225,145.045173
Alia College,46354.0,2018,HAWTHORN EAST,24.0,0.0,38.9,89.0,1097.0,Independent,Secondary,71.0,-37.843225,145.045173
Alia College,46354.0,2019,HAWTHORN EAST,20.0,0.0,70.0,90.0,996.0,Independent,Secondary,72.0,-37.843225,145.045173
Alia College,46354.0,2020,HAWTHORN EAST,23.0,2.6,27.8,89.0,1043.0,Independent,Secondary,68.0,-37.843225,145.045173
Alia College,46354.0,2021,HAWTHORN EAST,24.0,0.0,25.0,83.0,1054.0,Independent,Secondary,68.0,-37.843225,145.045173
Alia College,46354.0,2022,HAWTHORN EAST,25.0,0.0,44.4,67.0,1115.0,Independent,Secondary,91.0,-37.843225,145.045173
Alia College,,2023,HAWTHORN EAST,24.0,,69.2,100.0,,,,,,
Alice Miller School,52381.0,2017,MACEDON,29.0,4.3,71.0,100.0,1123.0,Independent,Secondary,289.0,-37.44664,144.531585
Alice Miller School,52381.0,2018,MACEDON,31.0,9.6,60.0,100.0,1118.0,Independent,Secondary,336.0,-37.44664,144.531585
Alice Miller School,52381.0,2019,MACEDON,31.0,7.2,52.6,100.0,1110.0,Independent,Secondary,357.0,-37.44664,144.531585
Alice Miller School,52381.0,2020,MACEDON,32.0,9.3,72.7,100.0,1110.0,Independent,Secondary,369.0,-37.44664,144.531585
Alice Miller School,52381.0,2021,MACEDON,35.0,14.2,75.0,100.0,1116.0,Independent,Combined,372.0,-37.44664,144.531585
Alice Miller School,52381.0,2022,MACEDON,31.0,10.0,65.2,100.0,1133.0,Independent,Combined,389.0,-37.44664,144.531585
Alice Miller School,,2023,MACEDON,34.0,10.9,71.8,97.0,,,,,,
Alkira Secondary College,45604.0,2014,CRANBOURNE NORTH,29.0,3.0,70.0,99.0,1002.0,Government,Secondary,973.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2015,CRANBOURNE NORTH,28.0,2.4,74.0,97.0,1009.0,Government,Secondary,1073.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2016,CRANBOURNE NORTH,27.0,1.3,70.0,96.0,1003.0,Government,Secondary,1137.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2017,CRANBOURNE NORTH,27.0,2.7,66.0,92.0,1007.0,Government,Secondary,1163.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2018,CRANBOURNE NORTH,28.0,1.8,69.4,98.0,1005.0,Government,Secondary,1226.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2019,CRANBOURNE NORTH,28.0,3.4,74.5,100.0,1006.0,Government,Secondary,1287.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2020,CRANBOURNE NORTH,30.0,3.2,85.0,98.0,1000.0,Government,Secondary,1483.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2021,CRANBOURNE NORTH,29.0,3.5,81.5,97.0,997.0,Government,Secondary,1621.0,-38.073313,145.310519
Alkira Secondary College,45604.0,2022,CRANBOURNE NORTH,29.0,5.2,75.0,99.0,988.0,Government,Secondary,1738.0,-38.073313,145.310519
Alkira Secondary College,,2023,CRANBOURNE NORTH,29.0,4.7,57.3,98.0,,,,,,
Alphington Grammar School,46316.0,2014,ALPHINGTON,31.0,9.3,87.0,100.0,1111.0,Independent,Combined,493.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2015,ALPHINGTON,28.0,8.4,96.0,98.0,1102.0,Independent,Combined,501.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2016,ALPHINGTON,31.0,9.8,92.0,100.0,,Independent,Combined,509.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2017,ALPHINGTON,32.0,13.1,96.0,99.0,1101.0,Independent,Combined,525.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2018,ALPHINGTON,32.0,12.1,100.0,100.0,1115.0,Independent,Combined,515.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2019,ALPHINGTON,32.0,14.0,98.5,100.0,1102.0,Independent,Combined,535.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2020,ALPHINGTON,31.0,4.8,100.0,100.0,1102.0,Independent,Combined,514.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2021,ALPHINGTON,31.0,5.0,97.9,100.0,1127.0,Independent,Combined,497.0,-37.780429,145.036174
Alphington Grammar School,46316.0,2022,ALPHINGTON,32.0,13.8,93.2,100.0,1140.0,Independent,Combined,519.0,-37.780429,145.036174
Alphington Grammar School,,2023,ALPHINGTON,33.0,16.6,92.3,100.0,,,,,,
Altona College,45587.0,2020,ALTONA,29.0,0.0,,,1008.0,Government,Combined,483.0,-37.86152274,144.8172644
Altona College,45587.0,2021,ALTONA,31.0,7.7,86.7,100.0,1012.0,Government,Combined,556.0,-37.86152274,144.8172644
Altona College,45587.0,2022,ALTONA,24.0,0.0,71.4,96.0,1017.0,Government,Combined,600.0,-37.86152274,144.8172644
Altona College,,2023,ALTONA,28.0,1.1,60.7,100.0,,,,,,
Antonine College,46112.0,2014,PASCOE VALE SOUTH,29.0,5.2,91.0,100.0,904.0,Catholic,Combined,816.0,-37.74119138,144.9427365
Antonine College,46112.0,2015,PASCOE VALE SOUTH,27.0,3.1,100.0,100.0,944.0,Catholic,Combined,791.0,-37.74119138,144.9427365
Antonine College,46112.0,2016,PASCOE VALE SOUTH,27.0,4.4,97.0,100.0,949.0,Catholic,Combined,805.0,-37.74119138,144.9427365
Antonine College,46112.0,2017,PASCOE VALE SOUTH,26.0,3.5,83.0,98.0,954.0,Catholic,Combined,799.0,-37.74119138,144.9427365
Antonine College,46112.0,2018,PASCOE VALE SOUTH,24.0,3.7,82.8,100.0,962.0,Catholic,Combined,816.0,-37.74119138,144.9427365
Antonine College,46112.0,2019,PASCOE VALE SOUTH,27.0,1.9,80.0,98.0,969.0,Catholic,Combined,817.0,-37.74119138,144.9427365
Antonine College,46112.0,2020,PASCOE VALE SOUTH,27.0,0.6,93.8,100.0,974.0,Catholic,Combined,805.0,-37.74119138,144.9427365
Antonine College,46112.0,2021,PASCOE VALE SOUTH,28.0,5.2,93.5,100.0,976.0,Catholic,Combined,821.0,-37.741099,144.942754
Antonine College,46112.0,2022,PASCOE VALE SOUTH,25.0,4.6,83.6,100.0,976.0,Catholic,Combined,821.0,-37.741099,144.942754
Antonine College,,2023,PASCOE VALE SOUTH,26.0,2.9,87.3,98.0,,,,,,
Apollo Bay P-12 College,45292.0,2014,APOLLO BAY,31.0,6.5,89.0,89.0,1035.0,Government,Combined,241.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2015,APOLLO BAY,29.0,6.4,100.0,100.0,1024.0,Government,Combined,242.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2016,APOLLO BAY,32.0,6.3,71.0,93.0,1026.0,Government,Combined,262.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2017,APOLLO BAY,32.0,15.7,90.0,100.0,1031.0,Government,Combined,262.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2018,APOLLO BAY,36.0,21.4,87.5,100.0,1031.0,Government,Combined,283.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2019,APOLLO BAY,28.0,1.6,100.0,100.0,1038.0,Government,Combined,272.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2020,APOLLO BAY,29.0,1.5,75.0,100.0,1041.0,Government,Combined,290.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2021,APOLLO BAY,33.0,5.4,69.2,100.0,1044.0,Government,Combined,298.0,-38.753524,143.660507
Apollo Bay P-12 College,45292.0,2022,APOLLO BAY,30.0,2.5,57.1,95.0,1043.0,Government,Combined,305.0,-38.753524,143.660507
Apollo Bay P-12 College,,2023,APOLLO BAY,31.0,11.8,58.8,100.0,,,,,,
Aquinas College,45947.0,2014,RINGWOOD,31.0,6.7,89.0,100.0,1057.0,Catholic,Secondary,1637.0,-37.82303115,145.23518332
Aquinas College,45947.0,2015,RINGWOOD,31.0,9.5,92.0,100.0,1059.0,Catholic,Secondary,1636.0,-37.82303115,145.23518332
Aquinas College,45947.0,2016,RINGWOOD,31.0,6.0,85.0,100.0,1055.0,Catholic,Secondary,1653.0,-37.82303115,145.23518332
Aquinas College,45947.0,2017,RINGWOOD,30.0,6.5,83.0,100.0,1058.0,Catholic,Secondary,1667.0,-37.82303115,145.23518332
Aquinas College,45947.0,2018,RINGWOOD,31.0,6.5,83.6,100.0,1064.0,Catholic,Secondary,1668.0,-37.82303115,145.23518332
Aquinas College,45947.0,2019,RINGWOOD,30.0,5.6,88.4,100.0,1065.0,Catholic,Secondary,1674.0,-37.82303115,145.23518332
Aquinas College,45947.0,2020,RINGWOOD,30.0,6.3,91.0,100.0,1070.0,Catholic,Secondary,1679.0,-37.82303115,145.23518332
Aquinas College,45947.0,2021,RINGWOOD,31.0,7.5,85.2,99.0,1073.0,Catholic,Secondary,1684.0,-37.82303115,145.23518332
Aquinas College,45947.0,2022,RINGWOOD,30.0,7.9,85.8,99.0,1077.0,Catholic,Secondary,1662.0,-37.82303115,145.23518332
Aquinas College,,2023,RINGWOOD,31.0,6.4,80.5,99.0,,,,,,
Ararat Secondary College,45523.0,2014,ARARAT,25.0,0.0,56.0,97.0,937.0,Government,Secondary,325.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2015,ARARAT,26.0,0.0,77.0,100.0,928.0,Government,Secondary,285.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2016,ARARAT,25.0,0.0,81.0,95.0,929.0,Government,Secondary,270.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2017,ARARAT,26.0,0.7,57.0,100.0,932.0,Government,Secondary,290.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2018,ARARAT,24.0,1.5,23.5,94.0,935.0,Government,Secondary,265.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2019,ARARAT,24.0,0.0,54.5,100.0,944.0,Government,Secondary,272.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2020,ARARAT,23.0,0.0,14.3,93.0,945.0,Government,Secondary,295.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2021,ARARAT,25.0,2.7,52.6,89.0,947.0,Government,Secondary,287.0,-37.28599961,142.92196149
Ararat Secondary College,45523.0,2022,ARARAT,25.0,3.0,62.5,100.0,941.0,Government,Secondary,292.0,-37.28599961,142.92196149
Ararat Secondary College,,2023,ARARAT,27.0,,38.9,94.0,,,,,,
Armstrong Creek School,45058.0,2021,ARMSTRONG CREEK,,,,,994.0,Government,Special,589.0,-37.884042,144.687587
Armstrong Creek School,45058.0,2022,ARMSTRONG CREEK,,,,,987.0,Government,Special,643.0,-37.884042,144.687587
Armstrong Creek School,,2023,ARMSTRONG CREEK,,,,,,,,,,
Ashwood High School,45518.0,2016,ASHWOOD,28.0,4.7,88.0,100.0,1036.0,Government,Secondary,355.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2017,ASHWOOD,29.0,5.0,95.0,98.0,1034.0,Government,Secondary,378.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2018,ASHWOOD,29.0,3.9,94.3,100.0,1054.0,Government,Secondary,414.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2019,ASHWOOD,30.0,4.3,91.9,97.0,1065.0,Government,Secondary,478.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2020,ASHWOOD,28.0,2.1,92.9,100.0,1073.0,Government,Secondary,568.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2021,ASHWOOD,33.0,10.8,95.5,100.0,1074.0,Government,Secondary,635.0,-37.86409815,145.10340983
Ashwood High School,45518.0,2022,ASHWOOD,30.0,2.6,86.7,100.0,1087.0,Government,Secondary,715.0,-37.86409815,145.10340983
Ashwood High School,,2023,ASHWOOD,32.0,10.1,78.5,98.0,,,,,,
Ashwood Secondary College,45443.0,2014,ASHWOOD,29.0,4.6,93.0,100.0,1024.0,Government,Secondary,1083.0,-37.800473,145.238246
Ashwood Secondary College,45443.0,2015,ASHWOOD,29.0,5.2,93.0,95.0,1025.0,Government,Secondary,1088.0,-37.800473,145.238246
Assumption College,45647.0,2014,KILMORE,30.0,4.3,88.0,100.0,1054.0,Catholic,Secondary,1195.0,-37.301013,144.947629
Assumption College,45647.0,2015,KILMORE,30.0,4.6,83.0,100.0,1051.0,Catholic,Secondary,1207.0,-37.301013,144.947629
Assumption College,45647.0,2016,KILMORE,29.0,3.4,82.0,100.0,1042.0,Catholic,Secondary,1211.0,-37.301013,144.947629
Assumption College,45647.0,2017,KILMORE,28.0,2.2,83.0,100.0,1043.0,Catholic,Secondary,1209.0,-37.301013,144.947629
Assumption College,45647.0,2018,KILMORE,28.0,3.8,79.0,100.0,1041.0,Catholic,Secondary,1211.0,-37.301013,144.947629
Assumption College,45647.0,2019,KILMORE,28.0,3.5,72.0,100.0,1039.0,Catholic,Secondary,1245.0,-37.301013,144.947629
Assumption College,45647.0,2020,KILMORE,28.0,4.0,69.3,99.0,1040.0,Catholic,Secondary,1236.0,-37.301013,144.947629
Assumption College,45647.0,2021,KILMORE,28.0,4.0,75.2,100.0,1040.0,Catholic,Secondary,1263.0,-37.301013,144.947629
Assumption College,45647.0,2022,KILMORE,27.0,1.9,76.2,100.0,1046.0,Catholic,Secondary,1384.0,-37.301013,144.947629
Assumption College,,2023,KILMORE,27.0,2.1,57.9,99.0,,,,,,
Auburn High School,50684.0,2014,HAWTHORN EAST,24.0,2.0,82.0,87.0,1007.0,Government,Secondary,296.0,-37.839849,145.044628
Auburn High School,50684.0,2015,HAWTHORN EAST,27.0,3.1,83.0,97.0,1059.0,Government,Secondary,308.0,-37.839849,145.044628
Auburn High School,50684.0,2016,HAWTHORN EAST,27.0,3.0,79.0,89.0,1071.0,Government,Secondary,369.0,-37.839849,145.044628
Auburn High School,50684.0,2017,HAWTHORN EAST,27.0,2.4,88.0,93.0,1086.0,Government,Secondary,420.0,-37.839849,145.044628
Auburn High School,50684.0,2018,HAWTHORN EAST,30.0,8.6,94.7,97.0,1096.0,Government,Secondary,413.0,-37.839849,145.044628
Auburn High School,50684.0,2019,HAWTHORN EAST,30.0,8.8,88.9,92.0,1124.0,Government,Secondary,490.0,-37.839849,145.044628
Auburn High School,50684.0,2020,HAWTHORN EAST,31.0,8.7,79.6,98.0,1151.0,Government,Secondary,562.0,-37.839849,145.044628
Auburn High School,50684.0,2021,HAWTHORN EAST,31.0,10.6,94.3,100.0,1153.0,Government,Secondary,616.0,-37.83968,145.04544
Auburn High School,50684.0,2022,HAWTHORN EAST,31.0,11.0,95.5,97.0,1151.0,Government,Secondary,675.0,-37.83968,145.04544
Auburn High School,,2023,HAWTHORN EAST,31.0,7.5,92.8,98.0,,,,,,
Australian Internatl Academy,,2014,COBURG,27.0,0.0,94.0,97.0,,,,,,
Australian Internatl Academy,,2015,COBURG,28.0,2.4,100.0,100.0,,,,,,
Australian Internatl Academy,46297.0,2016,COBURG,27.0,0.6,100.0,100.0,1055.0,Independent,Combined,1265.0,-37.736331,144.966123
Australian Internatl Academy,46297.0,2017,COBURG,30.0,5.3,98.0,100.0,1053.0,Independent,Combined,1285.0,-37.736331,144.966123
Australian Internatl Academy,46297.0,2018,COBURG,24.0,0.0,97.1,97.0,1050.0,Independent,Combined,1353.0,-37.736331,144.966123
